Split,Model,OA,AA,F1,Train Time(s),Inf Time(s)
0.01,LightGBM,53.49364344141125,40.980222054393856,0.41986339966724895,0.3657517433166504,0.18895459175109863
0.01,ViT,36.020498669557504,12.42801316330728,0.06858004210288222,330.4013466835022,-1.0
0.01,HybridSN,41.2042968365034,20.00070037883614,0.14796702347369656,375.96145606040955,-1.0
0.02,LightGBM,61.353907416625184,47.85642402209779,0.47036467561961715,0.8162343502044678,0.2926654815673828
0.02,ViT,47.28720756595321,26.85889219213061,0.23587727516052132,330.40533423423767,-1.0
0.02,HybridSN,50.92085614733698,26.41173365062439,0.2058793830081765,385.43182373046875,-1.0
0.05,LightGBM,69.93940638800453,54.11703962278786,0.5437287133386977,2.584374189376831,0.3601982593536377
0.05,ViT,51.843483619184546,32.61448847763814,0.30602966506687,346.62185621261597,-1.0
0.05,HybridSN,63.52059155797474,44.18267967740736,0.4321517289529737,410.9027647972107,-1.0
0.1,LightGBM,75.75067750677506,60.259213614559634,0.618394240827919,5.13007664680481,0.44539690017700195
0.1,ViT,61.853658536585364,48.45958965659338,0.4935770728596832,377.2484173774719,-1.0
0.1,HybridSN,80.79132791327913,67.96562285959864,0.7038119757874451,454.649582862854,-1.0
0.2,LightGBM,82.47560975609755,69.94076435549279,0.7171815742801652,6.635989665985107,0.37131237983703613
0.2,ViT,70.6951219512195,64.25123314703552,0.629584672162662,435.7785334587097,-1.0
0.2,HybridSN,91.53658536585367,89.21965536973246,0.9007249643820889,543.1612107753754,-1.0
