Direction,Model,Split,Mean_Diff,CI_Low,CI_High,Cohen_dz,P_Val_T,P_Val_W,P_Val_T_FDR,P_Val_W_FDR
Indian Pines -> Local,HybridSN,0.01,0.002712477396021698,-0.13626336854691337,0.14168832333895678,0.013962062431900108,0.9657473937350146,0.6953125,0.9657473937350146,0.7585227272727273
Indian Pines -> Local,HybridSN,0.05,0.034860357645167796,-0.015388018190088532,0.08510873348042412,0.4962866395613322,0.15100180627820453,0.232421875,0.21317902062805344,0.2935855263157895
Indian Pines -> Local,HybridSN,0.1,0.027888286116134208,-0.11044620797838257,0.16622278021065098,0.14421622170190243,0.6591577402189857,0.845703125,0.7533231316788408,0.8824728260869565
Indian Pines -> Local,HybridSN,0.2,0.08057062487442236,-0.003981588043455622,0.16512283779230036,0.6816705433800311,0.05948896867255097,0.001953125,0.08923345300882646,0.00390625
Indian Pines -> Local,SpectralFormer-inspired,0.01,0.23775366686759095,0.15189891900120867,0.3236084147339732,1.9810054975932117,0.00014706958557605856,0.001953125,0.0007059340107650811,0.00390625
Indian Pines -> Local,SpectralFormer-inspired,0.05,0.049628290134619245,0.021858837261719697,0.0773977430075188,1.2784529908703939,0.0029161988745479185,0.001953125,0.0053837517683961575,0.00390625
Indian Pines -> Local,SpectralFormer-inspired,0.1,0.058850713281093016,0.012727245995649887,0.10497418056653615,0.9127515047260208,0.017990226476794446,0.00390625,0.028784362362871112,0.006696428571428571
Indian Pines -> Local,SpectralFormer-inspired,0.2,0.01906771147277475,-0.010446807275890802,0.0485822302214403,0.46215285431544567,0.17790746917061515,0.275390625,0.23720995889415353,0.33046875
Indian Pines -> Local,ViT,0.01,0.3680128591520996,0.30326073964911826,0.4327649786550809,4.06566676593262,4.270280667093444e-07,0.001953125,5.124336800512133e-06,0.00390625
Indian Pines -> Local,ViT,0.05,0.4003013863773358,0.3036132769910044,0.49698949576366724,2.961670913199341,6.1572004976787255e-06,0.001953125,3.6943202986072356e-05,0.00390625
Indian Pines -> Local,ViT,0.1,0.47201125175808717,0.3805032133395042,0.5635192901766701,3.6899109027429358,9.771368280800333e-07,0.001953125,7.817094624640266e-06,0.00390625
Indian Pines -> Local,ViT,0.2,0.5564195298372513,0.47216140883165814,0.6406776508428444,4.724037855881461,1.1689271991554022e-07,0.001953125,2.8054252779729655e-06,0.00390625
