Dataset,Split,Depth,OA_Mean,OA_Std,CI_95_Low,CI_95_High,AA_Mean,Kappa_Mean,Params,FLOPs
Indian Pines,0.01,1,48.875506405343266,1.5526160421607296,46.7201298000889,51.030883010597634,28.864025969065256,38.938355608089104,620944,118248448
Indian Pines,0.02,1,51.319544298197115,1.5066378052952654,49.22799571828812,53.41109287810611,31.705504496803815,42.0199307998045,620944,118248448
Indian Pines,0.05,1,63.91602008215426,3.073800761788037,59.64890054244443,68.18313962186409,49.35091578333331,58.189383530333046,620944,118248448
Indian Pines,0.1,1,69.69288209081056,1.8594315381845088,67.11157729448917,72.27418688713195,56.040587542096056,65.14508477596313,620944,118248448
Indian Pines,0.2,1,72.44715447154472,2.0289869920609642,69.63046897023588,75.26383997285356,59.66655982444672,68.37137008049686,620944,118248448
Indian Pines,0.01,2,48.7616336362641,1.4621581976112854,46.731832650872754,50.79143462165545,28.77631765237758,38.82799455939101,1213968,236469248
Indian Pines,0.02,2,52.1225528149541,2.148988965685721,49.139277867503,55.1058277624052,33.59835172859922,43.53756247817611,1213968,236469248
Indian Pines,0.05,2,61.246006389776355,1.2253977016520168,59.54488166444017,62.94713111511254,47.781111331191866,55.31694717558999,1213968,236469248
Indian Pines,0.1,2,72.0366132723112,2.3909178430934985,68.71748720111769,75.35573934350471,59.90881831901015,68.0632183453668,1213968,236469248
Indian Pines,0.2,2,78.25474254742548,2.255377620589409,75.12377646989641,81.38570862495455,66.9086424700914,75.14818678791782,1213968,236469248
Indian Pines,0.01,4,48.18789006898062,1.5215988407787333,46.07557224220324,50.300207895758,30.258276670021537,38.324084209869774,2400016,472910848
Indian Pines,0.02,4,52.62028536666297,1.78416839356759,50.143462565078295,55.097108168247644,36.37386612281157,44.436967641242965,2400016,472910848
Indian Pines,0.05,4,61.583751711547244,2.115453923664549,58.64703086573228,64.5204725573622,47.628051499511535,55.608942827907796,2400016,472910848
Indian Pines,0.1,4,71.55245092135372,1.9609205432084114,68.83025679941733,74.27464504329012,58.714093685623595,67.51150109630804,2400016,472910848
Indian Pines,0.2,4,79.23577235772358,3.3005816019739362,74.65383054117035,83.8177141742768,67.47135381045324,76.29309357036642,2400016,472910848
Indian Pines,0.01,8,43.23661447498084,4.308967516122441,37.25480859068361,49.21842035927807,22.551601908362166,31.29157473469568,4772112,945794048
Indian Pines,0.02,8,50.82181174648822,0.975588406111544,49.46747791907016,52.17614557390628,33.536133079492444,42.14059165848986,4772112,945794048
Indian Pines,0.05,8,56.59744408945687,4.164507973040296,50.8161802008044,62.37870797810934,40.98060632429194,48.8110857439338,4772112,945794048
Indian Pines,0.1,8,61.7174515235457,9.315592189083974,48.785336355845175,74.64956669124622,46.59125140632114,55.42256888485031,4772112,945794048
Indian Pines,0.2,8,47.93224932249323,10.665138035750498,33.12666417468406,62.737834470302396,32.41687838191155,38.38734320449899,4772112,945794048
